"","player_id","war7","war8","war9","war10","war11","predwar7","predwar8","predwar9","predwar10","predwar11"
"349","campsh01",1.6,0.1,0.8,-0.9,0,0.512698412698413,1.54,-0.468156424581006,0.501587301587302,-1.30697674418605
"360","cappsma01",0.8,0.2,-1,-1,-1,1.37677119628339,0.561594202898551,0.0700645161290324,-1.16454413892909,-1.29965928449744
"368","capuach01",-1,0.7,0.7,2.1,-0.6,-1.16454413892909,-1.29965928449744,0.335234215885947,0.387979539641944,1.81269841269841
"380","carlybu01",-0.5,-1,-0.5,0.7,-1,-1.02322880371661,-0.738405797101449,-1.12993548387097,-0.664544138929088,0.400340715502555
"389","carmado01",-1.4,-0.3,-0.3,-0.1,-1,1.77006451612903,-1.56454413892909,-0.599659284497445,-0.664765784114053,-0.412020460358056
"399","carmofa01",-0.5,-0.6,0.8,0.1,-0.2,-1.39965928449744,-0.864765784114053,-0.912020460358056,0.512698412698413,0.0400000000000002
"410","carpecr01",0.5,-1,-0.2,-1,-1,0.870064516129032,0.335455861070912,-1.29965928449744,-0.564765784114053,-1.31202046035806
"418","carragi01",1.7,1.1,-0.6,1.3,0.4,-0.912020460358056,1.41269841269841,1.04,-1.16815642458101,1.0015873015873
"428","carrahe01",0.8,0.3,-1,0.2,-1,0.235455861070912,0.500340715502555,-0.064765784114053,-1.31202046035806,-0.0873015873015874
"440","clancji01",1.8,-0.2,2,3.7,5,4.97677119628339,1.56159420289855,-0.329935483870968,1.83545586107091,3.40034071550256
"455","clarkbr01",0.5,-1,-1,0.2,-1,-0.164544138929088,0.200340715502555,-1.36476578411405,-1.31202046035806,-0.0873015873015874
"463","comerst01",-0.8,-1,-1,-1,-1,-0.264544138929088,-1.09965928449744,-1.36476578411405,-1.31202046035806,-1.28730158730159
"470","comstke01",0.9,-0.1,-1,-1,-1,0.412698412698413,0.84,-0.668156424581006,-1.2984126984127,-1.40697674418605
"476","conroti01",-0.5,-0.2,-1.5,-0.2,-1,0.367552447552448,-0.405060240963855,-0.321336459554514,-1.52322880371661,-0.438405797101449
"483","contrjo01",0.7,0.9,0.1,-0.3,-0.3,1.7015873015873,0.293023255813953,0.942857142857143,-0.526190476190476,-1.21724137931034
"494","coopebr01",0.4,-1,-1,-1,-1,-0.564544138929088,0.100340715502555,-1.36476578411405,-1.31202046035806,-1.28730158730159
"500","cordefr01",1.7,1.6,1.6,1.6,1.7,3.43545586107091,1.40034071550256,1.23523421588595,1.28797953964194,1.31269841269841
"514","correke01",1.7,-1.8,0.1,0.2,1.6,-1.23840579710145,1.57006451612903,-1.96454413892909,-0.199659284497445,-0.164765784114053
"527","cottsne01",-0.3,-1,-1,-1,2.6,0.270064516129032,-0.464544138929088,-1.29965928449744,-1.36476578411405,-1.31202046035806
"537","crainje01",1.1,2.2,1.6,2.4,-1,0.0615942028985506,0.970064516129032,2.03545586107091,1.30034071550256,2.03523421588595
"547","cruzju02",0.6,1.4,-0.3,0.2,0.2,1.46159420289855,0.470064516129032,1.23545586107091,-0.599659284497445,-0.164765784114053
"559","cunnawi01",0.5,-0.2,-1,-1,-1,-0.229935483870968,0.335455861070912,-0.499659284497445,-1.36476578411405,-1.31202046035806
"567","dacqujo01",-1.9,0.7,-1,-0.1,-1,2.47677119628339,-2.13840579710145,0.570064516129032,-1.16454413892909,-0.399659284497445
"577","dejeami01",0.1,0.3,0.4,0.1,-1,1.03523421588595,-0.212020460358056,0.0126984126984126,0.34,-0.468156424581006
"587","delarjo01",1.6,1,-0.6,4.3,2.4,2.47006451612903,1.43545586107091,0.700340715502555,-0.964765784114053,3.98797953964194
"601","delosva01",0,-0.3,-1,-1,0,-0.199659284497445,-0.364765784114053,-0.612020460358056,-1.28730158730159,-1.06
"610","dennyjo01",1.4,3.3,1,7.4,3.8,-0.0232288037166086,1.16159420289855,3.17006451612903,0.835455861070912,7.10034071550256
"623","dibblro01",-1,-0.7,-1,-1,-1,-1.66454413892909,-1.29965928449744,-1.06476578411405,-1.31202046035806,-1.28730158730159
"630","dipotje01",2.8,0.3,-1,-1,-1,1.50034071550256,2.43523421588595,-0.0120204603580563,-1.28730158730159,-1.06
"638","dopsojo01",-0.1,1.4,0.7,0,-1,0.476771196283391,-0.338405797101449,1.27006451612903,0.535455861070912,-0.299659284497445
"646","doteloc01",0.3,-0.5,0.1,0.7,1.3,1.00034071550256,-0.064765784114053,-0.812020460358056,-0.187301587301587,0.64
"661","duckwbr01",-0.3,0.6,-1,-1,-1,-0.899659284497445,-0.664765784114053,0.287979539641944,-1.28730158730159,-1.06
"669","durbich01",-1,0.2,0.7,1.4,-0.1,-1.42322880371661,-1.23840579710145,0.0700645161290324,0.535455861070912,1.10034071550256
"683","eatonad01",0.4,-1.6,-1,-0.8,-1,0.261594202898551,0.270064516129032,-1.76454413892909,-1.29965928449744,-1.16476578411405
"693","eilanda01",-1,-0.4,-1,-1,-0.3,-0.0232288037166086,-1.23840579710145,-0.529935483870968,-1.16454413892909,-1.29965928449744
"703","eischjo01",-1,0.1,2,0.5,0.1,-1.16454413892909,-1.29965928449744,-0.264765784114053,1.68797953964194,0.212698412698413
"713","evelada01",0.5,0.2,-1,0.5,0,-0.923228803716609,0.261594202898551,0.0700645161290324,-1.16454413892909,0.200340715502555
"724","falcope01",2,2.2,1.7,0.7,-1,-0.323228803716609,1.76159420289855,2.07006451612903,1.53545586107091,0.400340715502555
"734","felicpe01",0.6,0.8,0.9,-1,-1,0.700340715502555,0.235234215885947,0.487979539641944,0.612698412698413,-1.06
"743","felizne01",-1.1,1,-1,-1,-1,1.27677119628339,-1.33840579710145,0.870064516129032,-1.16454413892909,-1.29965928449744
"752","fernasi01",3.1,2.3,0.9,6,3.4,2.87866354044549,3.07677119628339,2.06159420289855,0.770064516129032,5.83545586107091
"767","florera01",-0.3,0,0.6,-1,-1,-0.564765784114053,-0.612020460358056,-0.287301587301587,0.54,-1.56815642458101
"775","francje01",0.4,0.4,1.5,-0.8,-0.5,-1.12993548387097,0.235455861070912,0.100340715502555,1.13523421588595,-1.11202046035806
"786","garlajo01",3.7,3.9,0.7,1.6,1.3,4.47866354044549,3.67677119628339,3.66159420289855,0.570064516129032,1.43545586107091
"799","garzama01",1.2,1.5,1.4,-1.7,-0.3,2.56159420289855,1.07006451612903,1.33545586107091,1.10034071550256,-2.06476578411405
"811","germaju01",0.3,-0.1,-1.1,0,-0.3,-1.02322880371661,0.0615942028985506,-0.229935483870968,-1.26454413892909,-0.299659284497445
"820","glavito02",3.3,2.1,4.8,5.8,5.5,3.77677119628339,3.06159420289855,1.97006451612903,4.63545586107091,5.50034071550256
"842","gonzami02",1.4,0.4,0,0.5,-0.4,-0.699659284497445,1.03523421588595,0.0879795396419438,-0.287301587301587,0.44
"853","greggke01",0.1,1,-0.3,0.1,0.5,0.600340715502555,-0.264765784114053,0.687979539641944,-0.587301587301587,0.0400000000000002
"866","gubicma01",1.2,-0.4,2.7,0.5,2.2,6.27677119628339,0.961594202898551,-0.529935483870968,2.53545586107091,0.200340715502555
"880","gulledo01",1.7,2,0.6,-1,-1,3.19493975903614,1.57866354044549,1.97677119628339,0.361594202898551,-1.12993548387097
"889","gullibi01",1.8,4.5,0.6,-1,-1,1.17866354044549,1.77677119628339,4.26159420289855,0.470064516129032,-1.16454413892909
