preds0	preds1	preds2	preds3	preds4		Year0		ID	1	2	3	4	5	6	7	8	9	10
0.7964850807	0.9481545249	1.2531286064	-0.0034456543	-0.0642032083		1999		jonesja04	0.7	1.2	0.4	-1.9	0	0	0	0	0	0
2.8271240815	3.7878418233	3.418601285	2.1032347666	1.4991830448		2008		gardnbr01	4	3.4	3.4	4.9	0	0	0	0	0	0
4.0043812398	4.0516996011	3.5351110271	3.0025984496	2.2094580461		1970		singlke01	3.4	5.7	4.7	5.3	4	1.2	0.6	1.9	-1.8	0
3.1025893892	2.5645192068	2.2338825605	2.6377601731	1.7288270185		1987		johnsla03	6.1	1.6	3.7	7.2	1.7	0	0.5	0	0	0
0.6186187302	0.1617805842	-0.2101622266	-0.0461409352	0.0443495461		1993		buforda01	0.9	0.5	-0.4	0	0	0	0	0	0	0
-0.3822246124	-0.6207360814	-0.3495948324	-0.1817620558	-0.0643128432		1995		jordake01	-0.3	0	0	0	0	0	0	0	0	0
0.0804943753	0.0960990478	0.2731305679	-0.0452340645	-0.0614920503		1970		montgbo01	0	0.2	0.1	0.2	0	0	0	0	0	0
1.3951107043	1.6827982268	1.4933206942	0.8454524282	0.5543793332		1974		cowenal01	0.4	0.5	2.8	-0.8	0.3	0.6	-1	0	0	0
3.1295761781	3.951604673	3.2381667109	1.8993558074	1.7216825826		1972		maddoga01	5.1	5	1.9	1.5	1.3	-0.5	1.2	-0.2	-0.1	0
0.528754363	0.308412149	0.5405364487	0.0990918592	-0.0632101851		2005		mclouna01	0	0.5	1.8	-0.7	0	0	0	0	0	0
0.4336753741	0.647625777	0.6358294943	0.210281045	-0.0601939752		1985		rileser01	0.4	0.1	-0.4	0	0	0	0	0	0	0
0.1001984813	0.1887854704	0.1824178814	0.5903670809	-0.0610898309		1982		tinglro01	-0.1	-0.1	0	0.4	0.7	-0.3	-0.7	0.8	0	0
0.878081765	-0.2344299138	-0.3549224366	-0.0267986518	-0.0688097445		1993		womacto01	0.5	0.2	1.4	0.4	-1.8	3.3	-2.2	0.3	0	0
-0.1141379964	-0.2181192403	-0.1847899788	-0.0451061212	-0.0630883187		1975		dillast01	0.3	-0.4	0	0	0	0	0	0	0	0
0.2234703365	-0.1655442187	-0.310803257	-0.2959641029	-0.0606244991		1996		echevan01	0.6	0	0	0	0	0	0	0	0	0
