player_id,active_years,extra_stints,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,ob,pa,tb,war,ab_per_g,r_per_ab,batting_avg,double_per_ab,triple_per_ab,hr_per_ab,rbi_per_ab,sb_per_ob,cs_per_ob,sb_ratio,bb_per_pa,so_per_ab,slg,obp,rc,rc_per_ab,babip,iso,pa_per_so
putnapa01,6,0,455,1327.0,153.0,348.0,65.0,6.0,42.0,168.0,5.0,13.0,89.0,164.0,18.0,7.0,9.0,13.0,33.0,462.0,1463.0,551.0,0.2,2.91648352,0.11529766,0.26224567,0.04898267,0.00452148,0.03165034,0.12660136,0.01082251,0.02813853,0.27777778,0.06083390,0.12358704,0.41522231,0.30919220,170.04731638,0.12008991,0.26984127,0.15297664,8.63414634
estalbo02,6,1,214,625.0,89.0,139.0,34.0,5.0,31.0,97.0,4.0,1.0,94.0,191.0,11.0,5.0,0.0,6.0,12.0,249.0,741.0,276.0,2.6,2.92056075,0.14240000,0.22240000,0.05440000,0.00800000,0.04960000,0.15520000,0.01606426,0.00401606,0.80000000,0.12685560,0.30560000,0.44160000,0.32602740,89.44089013,0.12439623,0.26405868,0.21920000,3.76439791
bonneba01,6,0,680,2166.0,259.0,580.0,97.0,17.0,37.0,239.0,48.0,27.0,164.0,252.0,17.0,11.0,20.0,10.0,62.0,772.0,2388.0,822.0,1.7,3.18529412,0.11957525,0.26777470,0.04478301,0.00784857,0.01708218,0.11034164,0.06217617,0.03497409,0.64000000,0.06867672,0.11634349,0.37950139,0.32113994,262.47553648,0.11265044,0.28775835,0.11172669,9.24603175
gonzafe01,4,1,180,374.0,34.0,90.0,16.0,2.0,6.0,41.0,4.0,3.0,21.0,45.0,6.0,1.0,2.0,3.0,12.0,118.0,407.0,128.0,-3.1,2.07777778,0.09090909,0.24064171,0.04278075,0.00534759,0.01604278,0.10962567,0.03389831,0.02542373,0.57142857,0.05159705,0.12032086,0.34224599,0.28070175,35.96962025,0.09106233,0.25766871,0.10160428,8.77777778
cirilje01,6,0,789,2811.0,444.0,864.0,186.0,13.0,66.0,372.0,32.0,23.0,330.0,372.0,7.0,36.0,19.0,22.0,80.0,1237.0,3225.0,1274.0,34.5,3.56273764,0.15795091,0.30736393,0.06616862,0.00462469,0.02347919,0.13233725,0.02586904,0.01859337,0.58181818,0.10232558,0.13233725,0.45321949,0.38449515,484.29035339,0.15418349,0.33319415,0.14585557,8.44354839
montemi01,6,0,513,1629.0,216.0,442.0,110.0,4.0,58.0,246.0,2.0,4.0,154.0,333.0,23.0,18.0,5.0,16.0,38.0,637.0,1845.0,734.0,13.4,3.17543860,0.13259669,0.27133211,0.06752609,0.00245549,0.03560467,0.15101289,0.00313972,0.00627943,0.33333333,0.08346883,0.20441989,0.45058318,0.33791965,245.35277622,0.13760672,0.30622010,0.17925107,5.35435435
bellge02,5,0,574,2129.0,297.0,610.0,112.0,21.0,92.0,319.0,43.0,19.0,117.0,282.0,13.0,20.0,0.0,17.0,42.0,760.0,2296.0,1040.0,19.8,3.70905923,0.13950211,0.28651949,0.05260686,0.00986379,0.04321278,0.14983560,0.05657895,0.02500000,0.69354839,0.05095819,0.13245655,0.48849225,0.32720105,336.63401603,0.14988157,0.29232506,0.20197276,7.96453901
betemwi01,4,1,288,669.0,88.0,181.0,35.0,4.0,22.0,76.0,5.0,5.0,64.0,176.0,10.0,0.0,5.0,5.0,16.0,255.0,753.0,290.0,3.0,2.32291667,0.13153961,0.27055306,0.05231689,0.00597907,0.03288490,0.11360239,0.01960784,0.01960784,0.50000000,0.08499336,0.26307922,0.43348281,0.33197832,96.93042292,0.13223796,0.33403361,0.16292975,4.16477273
overbly01,6,0,572,1963.0,268.0,575.0,153.0,3.0,61.0,280.0,9.0,4.0,249.0,395.0,31.0,8.0,1.0,14.0,55.0,863.0,2266.0,917.0,16.9,3.43181818,0.13652573,0.29291900,0.07794193,0.00152827,0.03107489,0.14263882,0.01042874,0.00463499,0.69230769,0.10988526,0.20122262,0.46714213,0.37242614,341.59493671,0.15442809,0.33793557,0.17422313,5.60000000
wilkecu01,6,0,610,1591.0,185.0,406.0,50.0,18.0,3.0,106.0,53.0,31.0,89.0,241.0,3.0,11.0,21.0,8.0,25.0,509.0,1723.0,501.0,1.1,2.60819672,0.11627907,0.25518542,0.03142678,0.01131364,0.00188561,0.06662476,0.10412574,0.06090373,0.63095238,0.05165409,0.15147706,0.31489629,0.29782225,147.61607143,0.08786671,0.29741697,0.05971087,6.97095436
