player_id,active_years,extra_stints,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bfp,gf,r,tbf,war,era,baopp,tbf_per_g,starter_ratio,w_per_g,l_per_g,p_win,gf_per_g,cg_per_g,sho_per_g,sv_per_g,ipouts_per_g,bb_per_bfp,hbp_per_bfp,hr_per_tbf,so_per_tbf,wp_per_bfp,so_per_bb
bankswi01,5,2,100,26,35,83,1,1,0,1466.0,532,273,54,241,344,12.0,34.0,9.0,2191.0,7.0,311,1941.0,0.7,5.02796726,0.27408552,19.41000000,0.83000000,0.26000000,0.35000000,0.42622951,0.07000000,0.01000000,0.01000000,0.00000000,14.66000000,0.10999544,0.00410771,0.02782071,0.17722823,0.01551803,1.42738589
howrybo01,6,1,318,14,20,0,0,0,49,1034.0,312,150,42,140,304,21.0,15.0,18.0,1469.0,150.0,164,1287.0,10.8,3.91682785,0.24242424,4.04716981,0.00000000,0.04402516,0.06289308,0.41176471,0.47169811,0.00000000,0.00000000,0.15408805,3.25157233,0.09530293,0.01225323,0.03263403,0.23620824,0.01021103,2.17142857
feldmsc01,6,0,164,31,32,78,0,0,0,1716.0,615,305,65,210,315,10.0,22.0,31.0,2487.0,22.0,334,2214.0,9.0,4.79895105,0.27777778,13.50000000,0.47560976,0.18902439,0.19512195,0.49206349,0.13414634,0.00000000,0.00000000,0.00000000,10.46341463,0.08443908,0.01246482,0.02935863,0.14227642,0.00884600,1.50000000
rodrine01,4,1,29,4,6,7,0,0,0,204.0,76,49,7,34,36,0.0,2.0,3.0,318.0,7.0,55,281.0,-0.9,6.48529412,0.27046263,9.68965517,0.24137931,0.13793103,0.20689655,0.40000000,0.24137931,0.00000000,0.00000000,0.00000000,7.03448276,0.10691824,0.00943396,0.02491103,0.12811388,0.00628931,1.05882353
willisc01,6,1,269,25,24,10,0,0,55,1114.0,258,123,27,208,429,25.0,59.0,11.0,1562.0,121.0,137,1324.0,8.8,2.98114901,0.19486405,4.92193309,0.03717472,0.09293680,0.08921933,0.51020408,0.44981413,0.00000000,0.00000000,0.20446097,4.14126394,0.13316261,0.00704225,0.02039275,0.32401813,0.03777209,2.06250000
sabatcc01,6,0,185,81,56,185,12,4,0,3496.0,1080,512,111,427,933,13.0,28.0,35.0,4898.0,0.0,552,4368.0,60.6,3.95423341,0.24725275,23.61081081,1.00000000,0.43783784,0.30270270,0.59124088,0.00000000,0.06486486,0.02162162,0.00000000,18.89729730,0.08717844,0.00714577,0.02541209,0.21359890,0.00571662,2.18501171
bradfch01,6,0,226,16,8,0,0,0,6,711.0,230,85,16,63,172,15.0,2.0,13.0,988.0,58.0,97,906.0,10.0,3.22784810,0.25386313,4.00884956,0.00000000,0.07079646,0.03539823,0.66666667,0.25663717,0.00000000,0.00000000,0.02654867,3.14601770,0.06376518,0.01315789,0.01766004,0.18984547,0.00202429,2.73015873
henslcl01,5,0,174,18,22,40,1,1,7,1196.0,359,165,25,179,283,18.0,12.0,9.0,1694.0,39.0,181,1479.0,3.8,3.72491639,0.24273158,8.50000000,0.22988506,0.10344828,0.12643678,0.45000000,0.22413793,0.00574713,0.00574713,0.04022989,6.87356322,0.10566706,0.00531287,0.01690331,0.19134550,0.00708383,1.58100559
kingra01,6,0,370,14,14,0,0,0,1,841.0,228,96,17,120,206,16.0,10.0,9.0,1163.0,60.0,110,1015.0,5.4,3.08204518,0.22463054,2.74324324,0.00000000,0.03783784,0.03783784,0.50000000,0.16216216,0.00000000,0.00000000,0.00270270,2.27297297,0.10318143,0.00773861,0.01674877,0.20295567,0.00859845,1.71666667
willito02,3,0,35,2,3,0,0,0,0,115.0,45,24,5,20,19,2.0,0.0,1.0,180.0,14.0,24,159.0,1.2,5.63478261,0.28301887,4.54285714,0.00000000,0.05714286,0.08571429,0.40000000,0.40000000,0.00000000,0.00000000,0.00000000,3.28571429,0.11111111,0.00555556,0.03144654,0.11949686,0.00000000,0.95000000
