year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,ob,pa,tb,ab_per_g,r_per_ab,batting_avg,double_per_ab,triple_per_ab,hr_per_ab,rbi_per_ab,sb_per_ob,cs_per_ob,sb_ratio,bb_per_pa,so_per_ab,slg,obp,rc,rc_per_ab,babip,iso,pa_per_so
1980,85,269.4188481675392670,34.6596858638743455,71.8795811518324607,11.6544502617801047,2.4083769633507853,5.0104712041884817,29.5863874345549738,8.0994764397905759,3.7120418848167539,24.0575916230366492,36.2356020942408377,2.3507853403141361,1.3246073298429319,3.2041884816753927,2.3612565445026178,6.2408376963350785,99.6125654450261780,302.7172774869109948,103.3821989528795812,3.1519661889011393,0.12864610660914514468,0.26679492411434345790,0.04325773917099049729,0.00893915544413999495,0.01859732991313472862,0.10981558133659806837,0.08130978660779985283,0.03726479554294123831,0.68572695035460992908,0.07947214583441429288,0.13449542354107153268,0.38372296391301813094,0.32730187814933577645,6454.9488707317943412,0.11515590093002808615,0.29006177325581395349,0.11692803979867467304,8.0991186244762318
1981,54,167.7384615384615385,19.8000000000000000,43.4717948717948718,7.1538461538461538,1.3948717948717949,2.8358974358974359,17.6923076923076923,4.5743589743589744,2.3179487179487179,15.0000000000000000,22.6205128205128205,1.5948717948717949,0.87692307692307692308,1.8923076923076923,1.2564102564102564,3.8512820512820513,60.9435897435897436,188.3589743589743590,61.9230769230769231,3.0773355913068021,0.11804090617261304228,0.25916414442508178177,0.04264881225350820875,0.00831575407380231740,0.01690666177504662325,0.10547555718609557003,0.07505890272635476271,0.03803433187478963312,0.66369047619047619048,0.07963517560577184863,0.13485585007184566939,0.36916445015133449509,0.32102635228848821082,3863.7018016501094460,0.10842739523068163681,0.28310110753840657378,0.11000030572625271332,8.0784402629789163
1982,79,250.6811594202898551,32.3285024154589372,66.0628019323671498,11.1014492753623188,1.9275362318840580,5.4396135265700483,28.0531400966183575,8.0289855072463768,3.4927536231884058,21.6280193236714976,36.1014492753623188,2.1304347826086957,1.1739130434782609,2.5507246376811594,1.9227053140096618,5.0579710144927536,90.9951690821256039,280.0869565217391304,97.3381642512077295,3.1685290346217256,0.12896263321192499663,0.26353317530978397025,0.04428513615077759149,0.00768919465803318495,0.02169933129058989035,0.11190765257944537588,0.08823529411764705882,0.03838394563601613931,0.69685534591194968553,0.07721894511711338784,0.14401341273053130601,0.38829469464839760267,0.32266835061130698662,6488.5156116945784842,0.11510991363352573241,0.28722819867246509499,0.12476151933861363242,7.5428877291583032
1983,80,250.9174311926605505,32.3577981651376147,66.4128440366972477,11.2935779816513761,2.2247706422018349,5.4954128440366972,28.6467889908256881,8.1422018348623853,3.5229357798165138,22.9357798165137615,38.3944954128440367,2.2247706422018349,1.2660550458715596,2.1055045871559633,2.0642201834862385,5.3990825688073394,92.8394495412844037,281.5137614678899083,98.6422018348623853,3.1207211319032405,0.12895795246800731261,0.26468007312614259598,0.04500914076782449726,0.00886654478976234004,0.02190127970749542962,0.11416819012797074954,0.08770196155936558130,0.03794653886061564307,0.69799449469130947700,0.08147303242626690565,0.15301645338208409506,0.39312614259597806216,0.32691225631350743058,7015.9951758793969849,0.11752085721741033476,0.29134307402044666754,0.12844606946983546618,7.1326164874551971
1984,84,267.5185185185185185,35.5416666666666667,71.1990740740740741,12.0601851851851852,2.2453703703703704,6.2083333333333333,30.5277777777777778,8.3148148148148148,3.6990740740740741,24.8472222222222222,41.7592592592592593,2.1388888888888889,1.3611111111111111,2.0972222222222222,2.2592592592592593,5.4537037037037037,99.5462962962962963,300.2222222222222222,106.3750000000000000,3.1488202277805024,0.13285684618579537588,0.26614633808666758964,0.04508168351100650699,0.00839332687249065485,0.02320711615672158383,0.11411463380866675896,0.08352711375685982699,0.03715933401544042415,0.69210019267822736031,0.08276276831976313842,0.15609857399972310674,0.39763602381282015783,0.32909452082649023196,7548.2706845497300122,0.11952733423935852183,0.29300160714658429171,0.13148968572615256818,7.0012195121951220
1985,90,286.0787037037037037,37.4629629629629630,75.0787037037037037,13.0787037037037037,2.3240740740740741,7.1851851851851852,33.2268518518518519,8.0601851851851852,3.6805555555555556,25.8564814814814815,45.5925925925925926,2.4351851851851852,1.4212962962962963,2.3657407407407407,2.0370370370370370,6.3935185185185185,104.7916666666666667,320.1944444444444444,114.3611111111111111,3.1771813460846316,0.13095334422992895635,0.26244072953247131552,0.04571715242826857411,0.00812389752884630945,0.02511611347563639894,0.11614584176201187837,0.07691628009719461012,0.03512259774685222001,0.68651419558359621451,0.08075243630895578497,0.15937080251808457269,0.39975401744534170537,0.32453577981651376147,7993.0096470658078304,0.11862936933518073897,0.28849369504062321720,0.13731328791287038985,6.8417952883834281
1986,88,281.7393162393162393,38.3547008547008547,74.3333333333333333,13.3205128205128205,2.0256410256410256,7.6495726495726496,34.3076923076923077,8.3461538461538462,3.8632478632478632,27.0384615384615385,49.4487179487179487,2.3675213675213675,1.5170940170940171,2.4572649572649573,2.2307692307692308,5.7435897435897436,105.2564102564102564,317.3504273504273504,114.6538461538461538,3.1911999612759572,0.13613542251277928618,0.26383727456125714806,0.04727956679357471142,0.00718977050373898403,0.02715124304154595234,0.12177104979750329910,0.07929354445797807552,0.03670320747056435242,0.68358417920896044802,0.08520064637759224347,0.17551230906912190756,0.40695011148694768456,0.32921743173209719544,8807.9650815179782434,0.12190280235721175635,0.29392706449668474985,0.14311283692569053650,6.2444041137326074
1987,85,273.8852459016393443,39.3524590163934426,74.0409836065573770,13.6024590163934426,2.1967213114754098,8.5450819672131148,35.8688524590163934,8.5901639344262295,3.4549180327868852,26.5901639344262295,47.6762295081967213,2.3524590163934426,1.5450819672131148,2.0368852459016393,2.1434426229508197,5.5368852459016393,104.5286885245901639,308.5532786885245902,117.6721311475409836,3.1978179730117715,0.14368228886095648531,0.27033578739450529718,0.04966481115700005986,0.00802059017178428204,0.03119949721673550009,0.13096306937211947088,0.08217996471280141149,0.03305234267790629288,0.71316774413065668595,0.08617689640973873311,0.17407374154545998683,0.42964027054528042138,0.33592486795300204808,9615.8334879153254406,0.13115600261764588140,0.29796953368262077452,0.15930448315077512420,6.3024155419926072
1988,89,285.1538461538461538,35.9829059829059829,73.5341880341880342,13.2905982905982906,1.9743589743589744,6.7008547008547009,32.8547008547008547,7.8290598290598291,3.3803418803418803,25.4273504273504274,47.0897435897435897,2.7051282051282051,1.9700854700854701,2.5341880341880342,2.4444444444444444,5.6965811965811966,103.6367521367521368,320.2350427350427350,110.8760683760683761,3.1842519685039370,0.12618769295327158829,0.25787549081317627312,0.04660851841860743938,0.00692383778437190900,0.02349908581362587297,0.11521745646374726493,0.07554327656591480764,0.03261721166137478867,0.69843690430804422417,0.07940214852872489491,0.16513802715583131013,0.38882894224140514942,0.32042220081672523030,8266.9432137156695470,0.11375066340629189206,0.28584745298020507759,0.13095345142822887630,6.5955168345584899
1989,87,274.3185840707964602,34.9203539823008850,70.8008849557522124,12.1991150442477876,1.8141592920353982,6.1238938053097345,31.3982300884955752,6.5796460176991150,3.0575221238938053,25.1681415929203540,45.4513274336283186,2.7079646017699115,1.6902654867256637,2.8185840707964602,2.2654867256637168,5.7831858407079646,100.3672566371681416,308.9690265486725664,105.0000000000000000,3.1347524902664712,0.12729853538937996000,0.25809729659978063101,0.04447061100716175237,0.00661332989225111298,0.02232402090457448868,0.11445899735466804310,0.06555570250848653176,0.03046334259136798483,0.68273645546372819100,0.08145846162659143311,0.16568810891025227434,0.38276663010516807536,0.32183790720055994634,7604.1600673719047338,0.11234797097352261589,0.28744198851569259813,0.12466933350538744435,6.5891744548286604
