player_id,start_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
leblawa01,2008,96,20,32,68,0,0,0,1251.0,448,209,58,152,281,13.0,4.0,11.0,1,1805.0,2.0,219,21.0,8.0,1613.0
adamste01,1995,342,25,35,0,0,0,39,1245.0,409,181,31,207,343,18.0,27.0,3.0,4,1826.0,139.0,208,3.0,0.0,1613.0
sanchdu01,2002,210,13,9,0,0,0,8,688.0,220,97,24,95,168,14.0,14.0,15.0,1,989.0,80.0,106,16.0,9.0,854.0
blackbu02,1981,172,46,50,110,16,3,9,2503.0,795,344,82,246,428,19.0,22.0,24.0,12,3498.0,28.0,382,,,3228.0
prinzbr01,2001,98,5,4,0,0,0,9,266.0,95,47,12,48,63,4.0,6.0,3.0,1,403.0,45.0,49,5.0,3.0,344.0
roberda08,2008,339,21,14,0,0,0,8,987.0,267,101,23,143,428,16.0,27.0,8.0,4,1377.0,72.0,106,9.0,7.0,1210.0
verlaju01,2005,165,83,52,165,10,3,0,3193.0,987,450,94,353,965,17.0,48.0,52.0,12,4483.0,0.0,482,21.0,23.0,4034.0
quallch01,2004,390,29,22,0,0,0,39,1229.0,381,151,39,109,334,18.0,11.0,24.0,0,1688.0,117.0,165,19.0,13.0,1523.0
quiseda01,1979,360,36,26,0,0,0,180,1907.0,595,177,39,84,205,36.0,3.0,2.0,0,2516.0,321.0,196,,,2430.0
dyermi01,1989,30,5,8,12,1,0,4,259.0,89,48,3,49,50,4.0,1.0,5.0,2,391.0,7.0,55,,,337.0
dotsori01,1979,163,70,55,159,39,8,0,3137.0,1002,431,95,424,561,12.0,22.0,30.0,6,4468.0,4.0,484,,,4014.0
dibblro01,1988,354,26,23,0,0,0,88,1352.0,316,137,25,192,619,23.0,28.0,9.0,3,1836.0,196.0,148,,,1635.0
roberbe01,1979,83,9,5,0,0,0,7,368.0,109,51,4,48,65,5.0,7.0,5.0,1,508.0,37.0,52,,,455.0
loganbo02,2006,279,12,8,0,0,0,1,628.0,235,111,24,91,186,17.0,6.0,10.0,0,952.0,50.0,124,7.0,9.0,835.0
rowlary01,2007,115,12,17,47,0,0,2,1088.0,381,184,51,134,220,3.0,11.0,15.0,2,1585.0,17.0,205,8.0,18.0,1410.0
hootobu01,1971,193,63,66,155,43,15,1,3351.0,1064,427,77,343,651,28.0,30.0,9.0,2,4676.0,11.0,483,,,4324.0
lidleco01,1997,150,33,24,73,3,2,2,1690.0,569,248,60,137,349,17.0,19.0,22.0,1,2351.0,26.0,277,10.0,8.0,2174.0
harriro01,1972,131,30,34,70,12,0,10,1734.0,572,268,45,246,312,21.0,26.0,14.0,4,2511.0,31.0,288,,,2251.0
clemema01,1998,164,60,62,162,5,3,0,2926.0,902,483,95,467,838,18.0,71.0,60.0,0,4274.0,0.0,531,47.0,14.0,3686.0
garcifr02,1999,186,85,54,185,9,4,0,3598.0,1131,525,133,421,921,22.0,45.0,41.0,7,5092.0,0.0,557,28.0,25.0,4577.0
mulhote01,1986,116,32,38,94,18,6,0,1886.0,641,272,44,169,328,14.0,20.0,11.0,2,2651.0,8.0,297,,,2471.0
frankry01,1999,149,27,35,76,4,2,0,1862.0,626,283,96,176,334,10.0,3.0,29.0,5,2628.0,26.0,309,16.0,23.0,2384.0
