player_id,end_year,g,w,l,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,tbf
andersc01,1995,6,1,0,4,0,0,0,76.0,29,15,3,8,6,0.0,0.0,1.0,0,109.0,0.0,15,,,100.0
burbada01,1999,130,52,42,125,3,0,0,2336.0,757,364,100,335,585,26.0,34.0,26.0,1,3365.0,1.0,397,,,3004.0
shawje01,1999,293,17,20,0,0,0,128,1057.0,317,95,29,75,241,20.0,2.0,5.0,0,1424.0,211.0,107,,,1344.0
spillda01,1983,191,34,34,35,8,1,36,1553.0,545,237,42,196,297,21.0,22.0,5.0,1,2250.0,117.0,261,,,2049.0
smithro01,1991,49,10,14,37,1,1,0,701.0,290,132,29,71,112,4.0,13.0,1.0,1,1019.0,1.0,143,,,947.0
parkch01,2003,102,43,32,101,5,2,0,1906.0,544,291,69,318,572,7.0,26.0,55.0,4,2756.0,0.0,311,33.0,18.0,2332.0
francjo01,1993,173,20,17,0,0,0,88,577.0,197,64,13,69,150,11.0,18.0,2.0,2,834.0,156.0,79,,,763.0
marshse01,2014,104,5,6,0,0,0,9,256.0,82,31,4,30,98,2.0,4.0,6.0,1,373.0,29.0,35,1.0,0.0,336.0
grillja01,2009,220,12,12,0,0,0,2,787.0,259,123,17,122,211,13.0,16.0,13.0,0,1157.0,58.0,131,6.0,13.0,1003.0
pattotr01,2014,73,2,1,0,0,0,0,210.0,73,31,10,21,55,2.0,0.0,3.0,0,298.0,15.0,33,2.0,3.0,269.0
proctsc01,2011,45,2,6,0,0,0,0,138.0,54,36,12,35,35,6.0,4.0,1.0,0,225.0,16.0,38,7.0,2.0,180.0
bumgama01,2015,32,18,9,32,4,2,0,655.0,181,71,21,39,234,2.0,1.0,7.0,0,869.0,0.0,73,5.0,4.0,814.0
prietar01,2001,3,0,0,0,0,0,0,11.0,6,1,0,2,2,0.0,0.0,1.0,0,19.0,2.0,1,0.0,0.0,16.0
haranaa01,2011,106,32,45,103,3,2,0,1887.0,705,309,95,189,501,15.0,20.0,13.0,0,2719.0,1.0,330,26.0,14.0,2477.0
wendetu01,2001,227,17,15,0,0,0,5,706.0,203,95,30,112,206,24.0,4.0,11.0,2,1012.0,53.0,103,8.0,7.0,874.0
lopezja02,2012,231,12,6,0,0,0,8,475.0,149,53,4,69,111,12.0,7.0,7.0,0,674.0,59.0,59,6.0,4.0,588.0
